user_id,Precision@10,Recall@10,MAP@10,NDCG@10
44537848,0.6,0.375,0.3796428571428571,0.5996943318813953
72466774,0.1,0.5,0.01,0.06362078819895171
99321150,0.6,0.2222222222222222,0.3964285714285714,0.5617131059245698
92779876,0.0,0.0,0.0,0.0
47511578,0.6,0.5,0.5383333333333333,0.7019727018777485
90309391,0.0,0.0,0.0,0.0
56258785,0.6,0.42857142857142855,0.5155555555555555,0.6936634693435663
8189678,0.0,0.0,0.0,0.0
121421355,0.0,0.0,0.0,0.0
105433735,0.6,0.75,0.5433333333333332,0.7058075148678526
78333533,0.6,0.35294117647058826,0.38936507936507936,0.6117748521784964
61670915,0.1,1.0,0.016666666666666666,0.07839826897867533
64583950,0.6,0.375,0.4375,0.6390097281865127
17309657,0.0,0.0,0.0,0.0
49958514,0.1,0.16666666666666666,0.03333333333333333,0.11004588314904007
101913986,0.0,0.0,0.0,0.0
9289260,0.6,0.15789473684210525,0.48809523809523797,0.6749359875559983
6462807,0.0,0.0,0.0,0.0
119330545,0.0,0.0,0.0,0.0
26066305,0.2,0.5,0.075,0.2082936658103318
71883688,0.1,0.2,0.014285714285714284,0.07336392209936005
84896750,0.0,0.0,0.0,0.0
58480428,0.1,0.2,0.014285714285714284,0.07336392209936005
3885699,0.1,0.037037037037037035,0.01111111111111111,0.06625422345438903
34138851,0.7,0.4117647058823529,0.5911111111111109,0.7529694065526482
788267,0.0,0.0,0.0,0.0
103958306,0.7,0.875,0.6,0.762416491594312
56274514,0.1,1.0,0.1,0.22009176629808014
111356647,0.0,0.0,0.0,0.0
52635156,0.1,0.3333333333333333,0.016666666666666666,0.07839826897867533
122744141,0.6,0.8571428571428571,0.5857142857142856,0.7222954974312066
462827,0.6,0.4615384615384616,0.3363095238095238,0.521098444712307
83981568,0.8,0.3809523809523809,0.7068253968253967,0.835780413693672
121930166,0.0,0.0,0.0,0.0
108228502,0.0,0.0,0.0,0.0
123340150,0.2,1.0,0.16666666666666666,0.33013764944712026
52980474,0.0,0.0,0.0,0.0
48835027,0.0,0.0,0.0,0.0
36556087,0.2,0.2857142857142857,0.08333333333333333,0.20483424751859086
33958633,0.0,0.0,0.0,0.0
12409843,0.0,0.0,0.0,0.0
25964670,0.6,0.75,0.5114285714285713,0.6911279212606076
10515094,0.1,1.0,0.05,0.13886244387355454
97180257,0.0,0.0,0.0,0.0
38294983,0.1,0.3333333333333333,0.02,0.08514311764162097
45369809,0.0,0.0,0.0,0.0
92097804,0.0,0.0,0.0,0.0
51057008,0.0,0.0,0.0,0.0
112120332,0.6,0.6666666666666666,0.4213095238095238,0.6313419460517601
108880545,0.0,0.0,0.0,0.0
103495673,0.0,0.0,0.0,0.0
71766321,0.0,0.0,0.0,0.0
39932862,0.6,0.35294117647058826,0.575,0.7183627972686238
47093215,0.2,0.25,0.2,0.3589542101716347
53583726,0.0,0.0,0.0,0.0
38900834,0.1,1.0,0.1,0.22009176629808014
32295234,0.3,0.3,0.14999999999999994,0.3151625504769837
20964347,0.0,0.0,0.0,0.0
50482655,0.2,0.09523809523809523,0.125,0.28952298823485745
797462,0.6,0.75,0.5133333333333333,0.6867151830982591
4406980,0.0,0.0,0.0,0.0
21013912,0.1,0.14285714285714285,0.1,0.22009176629808014
87024098,0.6,0.3333333333333333,0.4255555555555556,0.6434035614033737
79682551,0.0,0.0,0.0,0.0
103312945,0.7,0.6363636363636364,0.5577777777777777,0.7241528458281337
41293912,0.6,0.42857142857142855,0.5599999999999999,0.7125523635307982
95428663,0.7,0.5,0.611547619047619,0.7600791051976192
47787710,0.6,0.6666666666666666,0.47309523809523796,0.6691255538181726
42089479,0.7,0.5,0.5607142857142857,0.725452110735279
132317872,0.2,0.3333333333333333,0.07222222222222223,0.2051166673279436
107043748,0.0,0.0,0.0,0.0
81331914,0.0,0.0,0.0,0.0
73679267,0.0,0.0,0.0,0.0
22009652,0.6,0.4615384615384616,0.4716666666666667,0.6547216238913564
