iter	Logloss	Accuracy
77	0.6286651602	0.6355385063
78	0.6285381314	0.6356171002
79	0.6284281779	0.6358390121
80	0.6283056388	0.6359730839
81	0.628241355	0.6360759494
82	0.6281599998	0.6362562528
83	0.6280110492	0.6365255522
84	0.627912402	0.6365960555
85	0.6278218988	0.6365787186
86	0.6277794396	0.6365868092
87	0.627678974	0.6366619356
88	0.6276015036	0.6367775148
89	0.6275115146	0.637042191
90	0.6274146301	0.6372190271
91	0.6273262695	0.6371647049
92	0.6271903874	0.6373288273
93	0.6270399905	0.6374998844
94	0.6266167636	0.6380431064
95	0.6264994925	0.6381182328
96	0.6261028587	0.6387423602
97	0.6259564258	0.6389226637
98	0.6258903714	0.6389792975
99	0.6258101261	0.6390001017
100	0.6254730858	0.6394543277
101	0.6253911341	0.6395895553
102	0.6253223142	0.6396866418
103	0.6252226595	0.6398149347
104	0.6251487011	0.6398380505
105	0.6248323705	0.6401165962
106	0.6247683328	0.6401200636
107	0.6246814353	0.640145491
108	0.6246084541	0.6401870995
109	0.6245070739	0.6402298638
110	0.6244453534	0.6402298638
111	0.6243562021	0.6404101673
112	0.6242854812	0.6405569528
113	0.6238470238	0.6410458526
114	0.6237386624	0.6410724358
115	0.6236735883	0.641043541
116	0.6235728028	0.6411475622
117	0.6234959928	0.6412770108
118	0.6234375238	0.6413278657
119	0.6233618668	0.6414249522
120	0.6232634934	0.6414989228
121	0.6232073056	0.6416225925
122	0.6231397835	0.6416410851
123	0.6228314789	0.6418872687
124	0.6227513082	0.6420051595
125	0.6226473557	0.6421542565
126	0.6225583784	0.6422305388
127	0.6224849558	0.6424281791
128	0.6224146461	0.6425113961
129	0.622345401	0.642439737
130	0.6222797041	0.6426362216
131	0.6221844569	0.6423923496
132	0.6221092072	0.6424258675
133	0.6220537397	0.6425414467
134	0.6219906688	0.6428234598
135	0.62193402	0.6428893399
136	0.6218853084	0.643010698
137	0.6218217655	0.6430534623
138	0.621753165	0.643088136
139	0.621690458	0.6431320561
140	0.6216264758	0.6431886899
141	0.6213586705	0.6435111557
142	0.6213169211	0.6435527642
143	0.6212512359	0.64357588
144	0.6211632181	0.6436544738
145	0.6210967922	0.6437180424
146	0.620723343	0.6442138769
147	0.6206503473	0.6443144307
148	0.6202529873	0.6447282041
149	0.6201948631	0.6447501641
150	0.620126027	0.6447651894
151	0.620035155	0.6448056421
152	0.6199440067	0.6448634317
153	0.6198833507	0.6449177539
154	0.6198303134	0.6448645875
155	0.6197639358	0.645005594
156	0.6196880114	0.6450784089
157	0.6196131717	0.6451338869
158	0.6195632389	0.6452182597
159	0.6192601498	0.6454008747
160	0.6192035489	0.6454367042
161	0.619117757	0.6455950477
162	0.6190529864	0.6456181635
163	0.6190006063	0.6457175616
164	0.6189419827	0.6456794204
165	0.6188777397	0.645786909
166	0.6188176694	0.6458735934
167	0.6187456731	0.6459799262
168	0.6186780273	0.6460250021
169	0.6186260319	0.6460469621
170	0.6185537859	0.6460989727
171	0.6184969405	0.6461532949
172	0.6181802976	0.6464618912
173	0.618115046	0.6465890283
174	0.6180761278	0.6465670683
175	0.6180110222	0.6464954092
176	0.6179461096	0.6467774223
177	0.6178809554	0.6468814435
178	0.6178219962	0.6469970227
179	0.6175311127	0.6472651663
180	0.6174481967	0.6472328041
181	0.6173958708	0.6472848147
182	0.617325906	0.6474096402
183	0.6172765811	0.6474373792
184	0.6172398245	0.6474928572
185	0.6171885711	0.6475633605
186	0.6168653017	0.6479355253
187	0.6168066542	0.6479736664
188	0.6167249209	0.6480222097
189	0.6165772198	0.6481770857
190	0.6165100357	0.6483238713
191	0.6164447769	0.6483377408
192	0.6163835893	0.6483111575
193	0.6163149118	0.6483331176
194	0.6162400293	0.6483677913
195	0.6162161769	0.6483920629
196	0.6161596783	0.6483943745
197	0.6161007914	0.6484614104
198	0.6160386635	0.6486012612
199	0.6159528669	0.6486093517
